com_id,com_code,com_name_ar,com_name_en,com_tel,com_address,com_usr_code,com_active,sec_insert_uid,sec_insert_date,sec_update_uid,sec_update_date
"73","73","لاب د. بوشارا","LAB DU DOCTEUR BOUCHARA","","","","1","","","",""
"74","74","هوبيجون","HOUBIGANT","","","","1","","","",""
"75","75","هيرمال كيميا","HERMAL ChEMI","","","","1","","","",""
"76","76","هيلثي اند فيت","HEALTHY & FIT","","","","1","","","",""
"77","77","امري تيفت","EMRI TIFT","","","","1","","","",""
"78","78","مناير","MANAYER","","","","1","","","",""
"79","79","سانافارم","SANFARM","","","","1","","","",""
"80","80","ميرك شارب","MERCK Sharp","","","","1","","","1","20/09/2007 12:16:33 pm"
"81","81","بولن","POLLEN","","","","1","","","",""
"82","82","روكس","ROQUES","","","","1","","","",""
"83","83","د. فالك","DR. FALK","","","","1","","","",""
"84","84","جاكومو","JACOMO","","","","1","","","",""
"85","85","بروتينا","PROTINA","","","","1","","","",""
"86","86","ديرميك لابوراتوريز","DERMIK LABORATORIES","","","","1","","","",""
"87","87","د. مان","DR. MANN","","","","1","","","",""
"88","88","مندي فارما","MUNDI  PHARMA","","","","1","","","",""
"89","89","شوفين بلاش","CHAUVIN  BLACHE","","","","1","","","",""
"90","90","الحكمة","HIKMA","","","","1","","","",""
"91","91","اميريكان هيلث","AMERICAN HEALTH","","","","1","","","",""
"92","92","جريمبيرج","GRIMBERG","","","","1","","","",""
"93","93","شيمينوفا","CHEMINOVA INTERNACIONAL","","","","1","","","",""
"94","94","كلينيك","CLINIQUE","","","","1","","","",""
"95","95","بوفور ايبسين","BEAUFOUR IPSEN","","","","1","","","",""
"96","96","هولستيكا","HOLESTICA","","","","1","","","",""
"97","97","السيسي","AL-SISI","","","","1","","","",""
"98","98","سولكو","SOLCO","","","","1","","","",""
"99","99","هيلث لاين إنتيرناشيونال","HEALTH LINE  INTL","","","","1","","","",""
"100","100","ليراس","LIERAS","","","","1","","","",""
"101","101","ماديس","MADAUS","","","","1","","","",""
"102","102","الدبيكي فارما","AL-DEBEKY PHARMA","","","","0","","","1","20/09/2007 6:14:14 pm"
"103","103","مزر كير","MOTHER CARE","","","","1","","","",""
"104","104","لايف تايم","LIFE TIME","","","","1","","","",""
"105","105","اس تي دوبون","S.T DUPONT","","","","1","","","",""
"106","106","بريت بيجن","BRIGHT BEGIN","","","","1","","","",""
